Date,Open,High,Low,Close,Adj Close,Volume
2011-08-29,55000.000000,55000.000000,55000.000000,55000.000000,41815.367188,0
2011-09-05,55600.000000,61500.000000,54700.000000,59800.000000,45464.703125,5477000
2011-09-12,57250.000000,59500.000000,54950.000000,56150.000000,42689.679688,6438000
2011-09-19,55500.000000,56500.000000,47400.000000,50000.000000,38013.972656,10039500
2011-09-26,49000.000000,54000.000000,47850.000000,52500.000000,39914.664063,5845000
2011-10-03,52500.000000,56950.000000,51000.000000,55000.000000,41815.367188,5209000
2011-10-10,55600.000000,61000.000000,54750.000000,57100.000000,43411.945313,4142500
2011-10-17,56150.000000,58350.000000,54050.000000,54200.000000,41207.136719,5752000
2011-10-24,56700.000000,61150.000000,55050.000000,60000.000000,45616.757813,4906000
2011-10-31,58600.000000,61000.000000,56000.000000,60550.000000,46034.910156,3049000
2011-11-07,61500.000000,63500.000000,60500.000000,60500.000000,45996.902344,4725500
2011-11-14,62000.000000,62950.000000,61000.000000,61800.000000,46985.261719,3150500
2011-11-21,60500.000000,61750.000000,60000.000000,60000.000000,45616.757813,2333500
2011-11-28,61550.000000,66400.000000,60500.000000,66400.000000,50482.550781,2515500
2011-12-05,65300.000000,66400.000000,62050.000000,62500.000000,47517.460938,3070000
2011-12-12,62850.000000,63750.000000,59700.000000,61700.000000,46909.230469,4980000
2011-12-19,62200.000000,63550.000000,61550.000000,61800.000000,46985.261719,3097000
2011-12-26,61800.000000,63000.000000,59100.000000,62050.000000,47175.328125,2575000
2012-01-02,62300.000000,63250.000000,61200.000000,61400.000000,46681.148438,3142500
2012-01-09,61000.000000,61900.000000,58800.000000,59550.000000,45274.632813,4473003
2012-01-16,58150.000000,59150.000000,56650.000000,57500.000000,43716.062500,7348500
2012-01-23,57500.000000,58050.000000,56500.000000,56550.000000,42993.796875,3295500
2012-01-30,55500.000000,59250.000000,55400.000000,59150.000000,44970.523438,7200500
2012-02-06,57950.000000,59850.000000,54800.000000,55000.000000,41815.367188,6659500
2012-02-13,55000.000000,55900.000000,54050.000000,54650.000000,41549.261719,5650000
2012-02-20,54100.000000,54900.000000,50900.000000,51950.000000,39496.515625,6821500
2012-02-27,51000.000000,57300.000000,50050.000000,57150.000000,43449.968750,8869000
2012-03-05,57050.000000,57150.000000,54550.000000,54550.000000,41473.238281,2867502
2012-03-12,55250.000000,57000.000000,54050.000000,54500.000000,41435.218750,4437500
2012-03-19,52900.000000,54500.000000,51400.000000,51600.000000,39230.417969,7587500
2012-03-26,51800.000000,55050.000000,51550.000000,55050.000000,41853.378906,8576500
2012-04-02,58950.000000,59400.000000,55300.000000,58050.000000,44134.214844,6906000
2012-04-09,57250.000000,59750.000000,55500.000000,59400.000000,45160.593750,5061500
2012-04-16,59950.000000,60450.000000,57000.000000,58450.000000,44438.324219,3103500
2012-04-23,59650.000000,60450.000000,57400.000000,57550.000000,43754.074219,5060500
2012-04-30,59200.000000,60100.000000,57150.000000,58400.000000,44400.312500,2133003
2012-05-07,58850.000000,59450.000000,57000.000000,58250.000000,44286.269531,4127000
2012-05-14,58000.000000,59200.000000,57100.000000,57400.000000,43640.035156,2658500
2012-05-21,57400.000000,61050.000000,57000.000000,60300.000000,45844.839844,5487500
2012-05-28,59800.000000,60500.000000,54000.000000,55000.000000,41815.367188,10658500
2012-06-04,55400.000000,58650.000000,53350.000000,58650.000000,44590.378906,3376500
2012-06-11,58050.000000,60000.000000,56500.000000,57250.000000,43525.984375,1751500
2012-06-18,57900.000000,59950.000000,57050.000000,59000.000000,44856.476563,2148500
2012-06-25,59000.000000,62800.000000,58600.000000,61500.000000,46757.175781,3079504
2012-07-02,62650.000000,63800.000000,59150.000000,61500.000000,46757.175781,4602000
2012-07-09,60100.000000,61600.000000,58500.000000,59500.000000,45236.621094,2946500
2012-07-16,59400.000000,60450.000000,57500.000000,58350.000000,44362.296875,4929500
2012-07-23,57800.000000,58150.000000,56650.000000,58150.000000,44210.238281,4428500
2012-07-30,58400.000000,58700.000000,48950.000000,51000.000000,38774.246094,22558500
2012-08-06,51400.000000,52000.000000,50500.000000,51200.000000,39604.457031,9286500
2012-08-13,51450.000000,51750.000000,50900.000000,51600.000000,39913.875000,2874000
2012-08-20,51600.000000,52300.000000,51600.000000,52100.000000,40300.632813,2379500
2012-08-27,51900.000000,52150.000000,48100.000000,50100.000000,38753.582031,4921500
2012-09-03,50350.000000,50500.000000,49300.000000,49750.000000,38482.847656,3992000
2012-09-10,50000.000000,50200.000000,49000.000000,49050.000000,37941.378906,4268500
2012-09-17,48100.000000,49200.000000,46850.000000,47250.000000,36549.035156,8832500
2012-09-24,46600.000000,47850.000000,45900.000000,46450.000000,35930.214844,5913000
2012-10-01,48900.000000,50400.000000,46250.000000,49950.000000,38637.554688,10376000
2012-10-08,49000.000000,52500.000000,48500.000000,52500.000000,40610.042969,6993000
2012-10-15,53150.000000,53600.000000,50000.000000,51100.000000,39527.105469,6216500
2012-10-22,51450.000000,51500.000000,50050.000000,50900.000000,39372.398438,1924500
2012-10-29,50650.000000,50850.000000,47450.000000,47850.000000,37013.152344,5612500
2012-11-05,46650.000000,47750.000000,46050.000000,47600.000000,36819.769531,7840500
2012-11-12,47200.000000,47950.000000,46250.000000,46300.000000,35814.187500,2497500
2012-11-19,46100.000000,52000.000000,46050.000000,51800.000000,40068.574219,13726000
2012-11-26,52500.000000,53000.000000,50800.000000,52850.000000,40880.769531,7438500
2012-12-03,53750.000000,55500.000000,52500.000000,55300.000000,42775.914063,9698000
2012-12-10,56550.000000,58900.000000,55250.000000,57450.000000,44438.992188,8371000
2012-12-17,59150.000000,60450.000000,55050.000000,57000.000000,44090.898438,6911500
2012-12-24,57000.000000,57100.000000,54900.000000,56300.000000,43549.437500,1895503
2012-12-31,56000.000000,57000.000000,54450.000000,55000.000000,42543.855469,3868000
2013-01-07,54550.000000,55250.000000,52050.000000,52300.000000,40455.335938,6402500
2013-01-14,54400.000000,54500.000000,52500.000000,52850.000000,40880.769531,3862500
2013-01-21,53700.000000,54000.000000,50400.000000,50500.000000,39062.992188,4547500
